Date,Chapter,Exercises link
Mon 31 Oct,0 - Prerequisites,https://arena-ldn-ch0.streamlit.app/W0D1_-_Fourier_Transforms
Tue 01 Nov,0 - Prerequisites,"https://arena-ldn-ch0.streamlit.app/W0D2_-_as_strided,_convolutions_and_CNNs"
Wed 02 Nov,0 - Prerequisites,https://arena-ldn-ch0.streamlit.app/W0D3_-_ResNets_and_fine-tuning
Thu 03 Nov,0 - Prerequisites,https://arena-ldn-ch0.streamlit.app/W0D4_-_Weights_and_Biases
Fri 04 Nov,0 - Prerequisites,https://arena-ldn-ch0.streamlit.app/W0D5_-_Build_Your_Own_Backprop_Framework
Sat 05 Nov,,
Sun 06 Nov,,
Mon 07 Nov,1 - Transformers,https://arena-ldn-ch1.streamlit.app/W1D1_-_Transformer_Reading
Tue 08 Nov,1 - Transformers,https://arena-ldn-ch1.streamlit.app/W1D2_-_Build_your_own_transformer_(1)
Wed 09 Nov,1 - Transformers,https://arena-ldn-ch1.streamlit.app/W1D3_-_Build_your_own_transformer_(2)
Thu 10 Nov,1 - Transformers,https://arena-ldn-ch1.streamlit.app/W1D4-5_-_Further_Investigations
Fri 11 Nov,1 - Transformers,https://arena-ldn-ch1.streamlit.app/W1D4-5_-_Further_Investigations
Sat 12 Nov,,
Sun 13 Nov,,
Mon 14 Nov,1 - Transformers,https://arena-ldn-ch1.streamlit.app/W1D4-5_-_Further_Investigations
Tue 15 Nov,1 - Transformers,https://arena-ldn-ch1.streamlit.app/W1D4-5_-_Further_Investigations
Wed 16 Nov,2 - Training at Scale,https://arena-ldn-ch2.streamlit.app/W2D3_-_Docker
Thu 17 Nov,2 - Training at Scale,https://arena-ldn-ch2.streamlit.app/W2D4_-_Lambda_Labs
Fri 18 Nov,3 - Optimisation,https://arena-ldn-ch3.streamlit.app/W2D5_-_Optimiser_Exercises
Sat 19 Nov,,
Sun 20 Nov,,
Mon 21 Nov,2 - Training at Scale,https://arena-ldn-ch2.streamlit.app/W3D1_-_Pretraining_BERT
Tue 22 Nov,3 - Optimisation,https://arena-ldn-ch3.streamlit.app/W3D1-2_-_Optimiser_Investigations
Wed 23 Nov,3 - Optimisation,https://arena-ldn-ch3.streamlit.app/W3D1-2_-_Optimiser_Investigations
Thu 24 Nov,4 - RL,
Fri 25 Nov,4 - RL,
Sat 26 Nov,,
Sun 27 Nov,,
Mon 28 Nov,4 - RL,
Tue 29 Nov,4 - RL,
Wed 30 Nov,4 - RL,
Thu 01 Dec,4 - RL,
Fri 02 Dec,4 - RL,
Sat 03 Dec,,
Sun 04 Dec,,
Mon 05 Dec,5 - Interpretability,
Tue 06 Dec,5 - Interpretability,
Wed 07 Dec,5 - Interpretability,
Thu 08 Dec,5 - Interpretability,
Fri 09 Dec,5 - Interpretability,
Sat 10 Dec,,
Sun 11 Dec,,
Mon 12 Dec,5 - Interpretability,
Tue 13 Dec,5 - Interpretability,
Wed 14 Dec,5 - Interpretability,
Thu 15 Dec,6 - Modelling Objectives,
Fri 16 Dec,6 - Modelling Objectives,
Sat 17 Dec,,
Sun 18 Dec,,
Mon 19 Dec,6 - Modelling Objectives,
Tue 20 Dec,6 - Modelling Objectives,
Wed 21 Dec,6 - Modelling Objectives,
Thu 22 Dec,7 - Scaling Laws,
Fri 23 Dec,7 - Scaling Laws,
Sat 24 Dec,,
Sun 25 Dec,,
Mon 26 Dec,,
Tue 27 Dec,,
Wed 28 Dec,,
Thu 29 Dec,,
Fri 30 Dec,,
Sat 31 Dec,,
Sun 01 Jan,,
Mon 02 Jan,7 - Scaling Laws,
Tue 03 Jan,8 - Adversarial Training,
Wed 04 Jan,8 - Adversarial Training,
Thu 05 Jan,8 - Adversarial Training,
Fri 06 Jan,9 - Capstone Projects,
Sat 07 Jan,,
Sun 08 Jan,,
Mon 09 Jan,9 - Capstone Projects,
Tue 10 Jan,9 - Capstone Projects,
Wed 11 Jan,9 - Capstone Projects,
Thu 12 Jan,9 - Capstone Projects,
Fri 13 Jan,9 - Capstone Projects,
